Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/bukkit/Statistic,true,35,false,false
org/bukkit/Rotation,true,10,true,NA
org/bukkit/Chunk,true,1,true,NA
org/bukkit/projectiles/ProjectileSource,true,1,true,NA
org/bukkit/projectiles/BlockProjectileSource,true,1,true,NA
org/bukkit/Location,true,194,true,true
org/bukkit/material/NetherWarts,true,24,false,false
org/bukkit/material/LongGrass,true,8,true,true
org/bukkit/material/SpawnEgg,true,2,true,true
org/bukkit/material/EnderChest,true,7,true,true
org/bukkit/material/Step,true,11,true,true
org/bukkit/material/Dye,true,8,true,true
org/bukkit/material/Openable,true,1,true,NA
org/bukkit/material/FurnaceAndDispenser,true,7,true,true
org/bukkit/material/Cauldron,true,17,true,true
org/bukkit/material/Tree,true,49,false,false
org/bukkit/material/Diode,true,38,false,false
org/bukkit/material/Tripwire,true,8,true,true
org/bukkit/material/Pumpkin,true,37,false,false
org/bukkit/material/RedstoneWire,true,8,true,true
org/bukkit/material/PistonExtensionMaterial,true,69,false,false
org/bukkit/material/Coal,true,8,true,true
org/bukkit/material/Rails,true,44,false,false
org/bukkit/material/MonsterEggs,true,8,true,true
org/bukkit/material/Colorable,true,1,true,NA
org/bukkit/material/TexturedMaterial,true,6,true,true
org/bukkit/material/Redstone,true,1,true,NA
org/bukkit/material/TrapDoor,true,62,false,false
org/bukkit/material/ExtendedRails,true,13,true,true
org/bukkit/material/Gate,true,91,false,false
org/bukkit/material/Button,true,58,false,false
org/bukkit/material/Lever,true,120,false,false
org/bukkit/material/Chest,true,7,true,true
org/bukkit/material/Attachable,true,1,true,NA
org/bukkit/material/Mushroom,true,132,false,false
org/bukkit/material/Ladder,true,22,false,false
org/bukkit/material/Dispenser,true,48,false,false
org/bukkit/material/WoodenStep,true,7,true,true
org/bukkit/material/DetectorRail,true,10,true,true
org/bukkit/material/CocoaPlant,true,69,false,false
org/bukkit/material/Wool,true,8,true,true
org/bukkit/material/Sandstone,true,8,true,true
org/bukkit/material/Stairs,true,42,false,false
org/bukkit/material/FlowerPot,true,10,true,true
org/bukkit/material/PressureSensor,true,1,true,NA
org/bukkit/material/Bed,true,48,false,false
org/bukkit/material/Cake,true,2,true,true
